127.0.0.1 - - [27/May/2019:14:22:17 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:21 +0900] "GET /ongjooProject/www/index.jsp HTTP/1.1" 200 897
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:21 +0900] "GET /ongjooProject/www/head.jsp HTTP/1.1" 200 890
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:22 +0900] "GET /ongjooProject/www/main.jsp HTTP/1.1" 200 256
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:22 +0900] "GET /ongjooProject/www/left.jsp HTTP/1.1" 200 1585
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:22 +0900] "GET /ongjooProject/www/style.css HTTP/1.1" 200 1199
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:22 +0900] "GET /ongjooProject/www/images/logo.png HTTP/1.1" 200 2051
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:22 +0900] "GET /ongjooProject/www/images/main.jpg HTTP/1.1" 200 673376
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:22 +0900] "GET /ongjooProject/www/copy.jsp HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [27/May/2019:14:22:22 +0900] "GET /ongjooProject/www/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:08 +0900] "POST /ongjooProject/www/member/member.jsp HTTP/1.1" 200 4294
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:08 +0900] "GET /ongjooProject/www/member/style.css HTTP/1.1" 200 1079
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:26 +0900] "GET /ongjooProject/www/member/idCheck.jsp?id=1111 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:27 +0900] "GET /ongjooProject/www/member/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:46 +0900] "GET /ongjooProject/www/member/zipSearch.jsp?search=n HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:46 +0900] "GET /ongjooProject/www/member/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:53 +0900] "POST /ongjooProject/www/member/zipSearch.jsp?search=n HTTP/1.1" 200 1063
0:0:0:0:0:0:0:1 - - [27/May/2019:14:23:53 +0900] "GET /ongjooProject/www/member/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2019:14:25:56 +0900] "POST /ongjooProject/www/member/memberProc.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [27/May/2019:14:26:06 +0900] "GET /ongjooProject/www/member/idCheck.jsp?id=1111 HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [27/May/2019:14:26:06 +0900] "GET /ongjooProject/www/member/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2019:14:26:17 +0900] "POST /ongjooProject/www/member/memberProc.jsp HTTP/1.1" 200 118
