127.0.0.1 - - [03/Apr/2020:10:49:08 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:49:11 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:49:12 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:49:12 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:49:57 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:49:57 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 200 1090
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:49:57 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 200 968
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:49:58 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:50:59 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:50:59 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:50:59 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:51:33 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:51:33 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:51:33 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:37 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:37 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:37 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:41 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:42 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:42 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:48 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:48 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:52:48 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:53:51 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:53:51 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:53:51 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:54:27 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:54:27 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:54:27 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:54:43 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:54:43 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:54:43 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:55:34 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:55:34 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:55:34 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:56:35 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:56:35 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:56:35 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:56:50 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1977
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:56:50 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:56:50 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:57:10 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:57:10 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:57:10 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:10:57:23 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [03/Apr/2020:11:02:28 +0900] "POST /ongjooProject/ch09/memberProc.jsp HTTP/1.1" 500 2962
0:0:0:0:0:0:0:1 - - [03/Apr/2020:11:02:36 +0900] "GET /ongjooProject/ch09/member.jsp HTTP/1.1" 200 1959
0:0:0:0:0:0:0:1 - - [03/Apr/2020:11:02:36 +0900] "GET /ongjooProject/ch09/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:11:02:36 +0900] "GET /ongjooProject/ch09/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Apr/2020:11:04:22 +0900] "POST /ongjooProject/ch09/memberProc.jsp HTTP/1.1" 500 2962
